Event ID;Date;Region;Source;Ship Type;Area;Location;Pollutant;Estimated Litres
340;2007-07-10 00:00:00;Townsville;ship;commercial;port limits;Berth 4, Townsville Port;diesel;200.0
341;2007-07-18 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba Yacht Club;diesel;
342;2007-07-22 00:00:00;Townsville;unknown;unknown;port limits;Ross River, Townsville;other oil;30.0
343;2007-08-01 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba, Browns Slipway;diesel;
344;2007-08-10 00:00:00;Gladstone;ship;fishing;port limits;Snapper Creek, Tin Can Bay;diesel;200.0
345;2007-08-18 00:00:00;Brisbane;ship;commercial;port limits;Brisbane Cruise Ship Terminal;diesel;3.0
346;2007-08-20 00:00:00;Brisbane;unknown;unknown;coastal waters;Mooloolaba, Debretts Wharf;diesel;1.0
347;2007-08-21 00:00:00;Cairns;unknown;unknown;coastal waters;Coleman River;diesel;
348;2007-08-25 00:00:00;Mackay;unknown;unknown;coastal waters;Seaward of Hay Point;sheen;
349;2007-08-26 00:00:00;Brisbane;ship;recreational;coastal waters;Noosa River;diesel;
350;2007-08-31 00:00:00;Mackay;unknown;unknown;coastal waters;Armstrong Beach, Sarina;other;
351;2007-09-05 00:00:00;Townsville;ship;commercial;coastal waters;Orpheus Island;diesel;200.0
352;2007-09-11 00:00:00;Mackay;ship;fishing;great barrier reef;Swain Reef, - FV Jagger sunk;diesel;7000.0
353;2007-09-12 00:00:00;Mackay;ship;recreational;great barrier reef;7.5nm NE Mackay;petroleum;40.0
354;2007-09-27 00:00:00;Brisbane;ship;recreational;coastal waters;Wynnum Creek;sheen;
355;2007-09-30 00:00:00;Cairns;ship;commercial;coastal waters;Turtle Cove between Cairns and Port Douglas;other oil;
356;2007-09-30 00:00:00;Gladstone;ship;commercial;coastal waters;Urangan Boat Harbour;bilge;
357;2007-10-08 00:00:00;Cairns;unknown;unknown;port limits;Weipa, Lorim Point;other oil;
358;2007-10-18 00:00:00;Brisbane;unknown;unknown;coastal waters;Brisbane River Town Reach;sheen;
359;2007-10-24 00:00:00;Cairns;unknown;unknown;coastal waters;Mission Beach;sheen;
360;2007-10-27 00:00:00;Brisbane;unknown;unknown;coastal waters;Raby Bay Marina;sheen;
361;2007-10-30 00:00:00;Cairns;ship;commercial;coastal waters;Mission Beach;diesel;
362;2007-11-01 00:00:00;Cairns;unknown;unknown;port limits;Cooktowm;diesel;
363;2007-11-07 00:00:00;Brisbane;ship;recreational;coastal waters;Mooloolaba;diesel;
364;2007-11-23 00:00:00;Brisbane;land;n/a;coastal waters;Scarbrough Harbour;diesel;
365;2007-11-27 00:00:00;Cairns;unknown;unknown;coastal waters;Port Douglas, Marina Mirage;diesel;
366;2007-11-27 00:00:00;Cairns;ship;commercial;great barrier reef;Green Island and Norman Reef;diesel;
367;2007-11-27 00:00:00;Cairns;unknown;unknown;port limits;Cairns, Tropical Reef Slipway;sheen;
368;2007-12-06 00:00:00;Cairns;ship;commercial;coastal waters;Cairns, Mulgrave River;diesel;
369;2007-12-27 00:00:00;Cairns;unknown;unknown;coastal waters;Maria Creek, Silkwood;diesel;
370;2008-01-01 00:00:00;Brisbane;ship;recreational;coastal waters;Dockside Marine, Brisbane River;diesel;100.0
371;2008-01-14 00:00:00;Mackay;unknown;unknown;coastal waters;Pioneer River, Mackay;sheen;
372;2008-01-15 00:00:00;Cairns;ship;government;port limits;NQEA Slipway, Cairns;diesel;10.0
373;2008-01-16 00:00:00;Mackay;ship;commercial;port limits;Hay Point Anchorage;sheen;
374;2008-01-21 00:00:00;Brisbane;ship;recreational;coastal waters;Raby Bay Marina;diesel;20.0
375;2008-01-31 00:00:00;Cairns;ship;commercial;port limits;Cairns Berth 4/5;other oil;50.0
376;2008-02-03 00:00:00;Gladstone;unknown;unknown;coastal waters;Hervey Bay Boat Club, Urangan;sheen;
377;2008-02-04 00:00:00;Brisbane;ship;fishing;coastal waters;One Mile anchorage , Stradbroke Island;diesel;
378;2008-02-04 00:00:00;Gladstone;ship;fishing;coastal waters;Cassuarina creek;diesel;
379;2008-02-17 00:00:00;Gladstone;unknown;unknown;coastal waters;Snapper Creek, Tin Can Bay;diesel;
380;2008-03-08 00:00:00;Brisbane;ship;fishing;port limits;Aquarium Passage, Brisbane;diesel;5.0
381;2008-03-14 00:00:00;Mackay;ship;commercial;coastal waters;Abel Point Marina, Airlie Beach;bilge;25.0
382;2008-03-19 00:00:00;Cairns;ship;government;port limits;HMAS Cairns, Cairns;other oil;0.5
383;2008-03-23 00:00:00;Brisbane;ship;recreational;coastal waters;Karragarra Island, Moreton Bay;diesel;
384;2008-04-06 00:00:00;Brisbane;ship;recreational;coastal waters;Dockside Marine, Brisbane River;diesel;
385;2008-04-08 00:00:00;Cairns;unknown;unknown;port limits;Trawler Base, Smiths Creek, Cairns;sheen;
386;2008-04-12 00:00:00;Gladstone;ship;commercial;port limits;Gladstone Marina;diesel;50.0
387;2008-04-21 00:00:00;Gladstone;ship;commercial;port limits;Gladstone Marina;sheen;
388;2008-04-24 00:00:00;Townsville;land;n/a;port limits;Townsville Port Berth 1;diesel;
389;2008-04-26 00:00:00;Gladstone;ship;recreational;coastal waters;Pancake Creek;diesel;300.0
390;2008-05-10 00:00:00;Brisbane;ship;recreational;coastal waters;Kangaroo Island, Southern Moreton Bay;hydraulic;
391;2008-05-16 00:00:00;Brisbane;unknown;unknown;coastal waters;Russell Island;bilge;
392;2008-05-17 00:00:00;Gladstone;ship;commercial;great barrier reef;Lady Elliott Island;other oil;
393;2008-05-25 00:00:00;Gladstone;ship;commercial;port limits;Gladstone , Boyne Whard;other;
394;2008-05-28 00:00:00;Townsville;ship;commercial;port limits;Townsville, Ross Creek;hydraulic;1.0
395;2008-06-09 00:00:00;Brisbane;unknown;unknown;coastal waters;Brisbane River, Teneriffe ferry terminal;other;
396;2008-06-17 00:00:00;Gladstone;land;unknown;port limits;Gladstone Marina;diesel;77.0
397;2008-06-18 00:00:00;Brisbane;unknown;unknown;coastal waters;Cabbage Tree Creek Shornecliffe;diesel;
398;2008-06-18 00:00:00;Brisbane;ship;commercial;port limits;Tug base, Whyte Island;diesel;100.0
399;2008-06-26 00:00:00;Brisbane;unknown;unknown;coastal waters;Tlimbah Creek, Toorbul;diesel;
400;2008-07-07 00:00:00;Gladstone;land;n/a;port limits;Boyne Smelter Wharf, Gladstone;petroleum;
401;2008-07-08 00:00:00;Gladstone;land;n/a;port limits;Boyne Smelter Wharf, Gladstone;petroleum;
402;2008-07-16 00:00:00;Cairns;unknown;n/a;coastal waters;Johnston Harbour, Innisfail;diesel;
403;2008-07-20 00:00:00;Gladstone;unknown;n/a;coastal waters;Hervey Bay Boat Harbour, Urangan;sheen;
404;2008-07-30 00:00:00;Brisbane;unknown;n/a;coastal waters;Mooloolaba Marina, Mooloolaba;diesel;
405;2008-07-30 00:00:00;Gladstone;ship;commercial;port limits;Auckland Channel, Gladstone;hydraulic;4.0
406;2008-07-30 00:00:00;Townsville;unknown;n/a;great barrier reef;15 miles East of Lucinda;other;
407;2008-08-06 00:00:00;Mackay;ship;recreational;coastal waters;Abel Point Marina, Airlie Beach;diesel;
408;2008-08-08 00:00:00;Gladstone;land;n/a;port limits;Fishermans Landing;other oil;1.0
409;2008-08-13 00:00:00;Mackay;ship;commercial;port limits;Berth 1, Mackay Harbour;diesel;10.0
410;2008-08-21 00:00:00;Brisbane;ship;commercial;port limits;Bar Cutting, Brisbane;other;
411;2008-09-02 00:00:00;Townsville;ship;commercial;coastal waters;Nelly Bay, Magnetic Island;diesel;300.0
412;2008-09-13 00:00:00;Gladstone;unknown;n/a;port limits;Carlo Creek, Tin Can Bay;diesel;
413;2008-09-15 00:00:00;Brisbane;unknown;n/a;coastal waters;Mooloolaba Harbour;sheen;
414;2008-10-09 00:00:00;Mackay;unknown;unknown;port limits;Dalrymple Bay Terminal;sheen;
415;2008-10-13 00:00:00;Brisbane;ship;commercial;port limits;Caltex Products Wharf, Lytton;other oil;100.0
416;2008-10-22 00:00:00;Mackay;ship;recreational;coastal waters;Pioneer Bay, Airlie Beach;diesel;
417;2008-10-24 00:00:00;Mackay;ship;commercial;port limits;Mackay Marina, Mackay;diesel;10.0
418;2008-11-09 00:00:00;Mackay;ship;government;port limits;Mackay Marina, Mackay;diesel;
419;2008-11-17 00:00:00;Gladstone;ship;recreational;coastal waters;Hervey Bay Boat Harbour, Urangan;diesel;
420;2008-11-21 00:00:00;Mackay;land;n/a;port limits;Dalrymple Bay Terminal;hydraulic;
421;2008-12-01 00:00:00;Gladstone;ship;commercial;port limits;E3 Anchorge, Gladstone;unknown;
422;2008-12-01 00:00:00;Mackay;land;n/a;port limits;Dalrymple Bay Terminal;hydraulic;5.0
423;2008-12-10 00:00:00;Townsville;unknown;n/a;port limits;Ross Creek, Townsville;diesel;
424;2008-12-17 00:00:00;Brisbane;ship;recreational;coastal waters;Raby Bay Marina;diesel;
425;2008-12-27 00:00:00;Brisbane;ship;commercial;coastal waters;Flinders Reef, Moreton Island, SEQ;diesel;
426;2009-01-05 00:00:00;Gladstone;unknown;n/a;port limits;Auckland Creek, Gladstone;sheen;
427;2009-01-05 00:00:00;Gladstone;unknown;n/a;port limits;Town Reach, Burnett River, Bundaberg;diesel;
428;2009-01-26 00:00:00;Gold Coast;ship;commercial;coastal waters;Marina Mirage;diesel;
429;2009-01-29 00:00:00;Cairns;ship;commercial;port limits;Wharf 7/8 Cairns;sheen;
430;2009-01-29 00:00:00;Townsville;land;n/a;port limits;Ross Haven slipway Ross River Townsville;diesel;50.0
431;2009-01-31 00:00:00;Brisbane;ship;recreational;port limits;Dockside Marina Kangaroo Point Brisbane river;bilge;
432;2009-02-01 00:00:00;Gladstone;ship;commercial;port limits;Emperor Street slipway Tin Can Bay;diesel;
433;2009-02-01 00:00:00;Gladstone;ship;commercial;port limits;Burnett River Bundaberg;diesel;
434;2009-02-01 00:00:00;Gladstone;unknown;n/a;port limits;Gladstone Marina;diesel;20.0
435;2009-02-03 00:00:00;Gladstone;unknown;n/a;great barrier reef;Capricorn Channel;unknown;
436;2009-02-10 00:00:00;Gladstone;ship;commercial;port limits;North Channel Gladstone Harbour;diesel;20.0
437;2009-02-19 00:00:00;Brisbane;unknown;n/a;coastal waters;Wynnum Creek;sheen;
438;2009-02-27 00:00:00;Gladstone;land;n/a;port limits;Walby Creek Gladstone;diesel;1000.0
439;2009-03-11 00:00:00;Brisbane;ship;commercial;coastal waters;Approximatly 7 Nm East Cape Moreton Island;other oil;270000.0
440;2009-06-04 00:00:00;Townsville;unknown;n/a;great barrier reef;Approximatly 10 Nm South of Palm Island;other;
441;2009-06-08 00:00:00;Cairns;ship;unknown;port limits;Endeavour River Cooktown;diesel;50.0
442;2009-06-15 00:00:00;Cairns;ship;commercial;coastal waters;Green Island Jetty;diesel;200.0
443;2009-06-22 00:00:00;Cairns;ship;fishing;coastal waters;Flattery Harbour;diesel;2000.0
444;2009-06-22 00:00:00;Townsville;unknown;n/a;port limits;Roos Creek between Reef HQ and marina berths;diesel;
445;2009-06-26 00:00:00;Brisbane;unknown;commercial;port limits;Tangalooma Flyer wharf Holt St Eagle Farm;sheen;60.0
446;2009-06-26 00:00:00;Cairns;land;n/a;port limits;Canecutters wharf Innisfail;other oil;
447;2009-07-13 00:00:00;Mackay;ship;unknown;coastal waters;Outside of Abel Point Marina Pioneer Bay Whitsunday;other oil;10.0
448;2009-07-15 00:00:00;Townsville;ship;commercial;great barrier reef;Inner shipping route from Holborne Is to Palm Is.;other oil;200.0
449;2009-07-28 00:00:00;Cairns;unknown;n/a;port limits;Marlin Marina Cairns;bilge;35.0
450;2009-08-23 00:00:00;Gladstone;unknown;n/a;port limits;Mouth of Auckland creek Gladstone Harbour;unknown;
451;2009-09-16 00:00:00;Brisbane;unknown;n/a;port limits;Brisbane River;diesel;20.0
452;2009-09-18 00:00:00;Brisbane;ship;commercial;port limits;Fisherman Islands Berth 2, Brisbane;other oil;5.0
453;2009-09-27 00:00:00;Cairns;unknown;n/a;coastal waters;Clump Point Mission Beach;sheen;
454;2009-10-06 00:00:00;Brisbane;unknown;n/a;coastal waters;Wynnum creek;sheen;
455;2009-10-18 00:00:00;Mackay;ship;commercial;port limits;Hay Point;other oil;
456;2009-10-23 00:00:00;Townsville;ship;commercial;port limits;Ross river;hydraulic;50.0
457;2009-10-30 00:00:00;Brisbane;ship;recreational;coastal waters;Weinam creek;diesel;50.0
458;2009-12-04 00:00:00;Townsville;ship;commercial;port limits;Ross creek;diesel;2.0
459;2009-12-12 00:00:00;Cairns;ship;commercial;port limits;Norman River Karumba;diesel;
460;2009-12-13 00:00:00;Brisbane;unknown;n/a;coastal waters;Eastern side of Cleveland Point Moreton Bay;bilge;
461;2010-01-04 00:00:00;Gladstone;unknown;n/a;port limits;Auckland creek Gladstone Harbour;diesel;
462;2010-01-05 00:00:00;Mackay;ship;commercial;port limits;Hay Point;other oil;50.0
463;2010-01-09 00:00:00;Brisbane;ship;commercial;port limits;Fisherman Is Brisbane River;other oil;20.0
464;2010-01-18 00:00:00;Gladstone;land;n/a;coastal waters;Rosslyn Bay Marina;other oil;
465;2010-01-20 00:00:00;Brisbane;ship;recreational;port limits;Breakfast creek Brisbane River;diesel;
466;2010-02-02 00:00:00;Mackay;unknown;n/a;coastal waters;Shute Harbour Marina;diesel;
467;2010-02-16 00:00:00;Brisbane;unknown;n/a;port limits;Tangalooma ferry terminal Brisbane River;unknown;
468;2010-02-16 00:00:00;Townsville;unknown;n/a;port limits;Ross River ;sheen;10.0
469;2010-02-23 00:00:00;Brisbane;ship;fishing;coastal waters;Mooloolaba Boat Harbour;diesel;8.0
470;2010-02-26 00:00:00;Brisbane;ship;fishing;coastal waters;Tangalooma jetty Moreton Is;diesel;
471;2010-03-18 00:00:00;Cairns;ship;recreational;coastal waters;Yorkeys Knob Marina;diesel;1000.0
472;2010-03-31 00:00:00;Brisbane;ship;fishing;coastal waters;Mooloolaba Boat Harbour;diesel;
473;2010-04-13 00:00:00;Gladstone;unknown;n/a;port limits;Gladstone Marina;diesel;10.0
474;2010-04-14 00:00:00;Cairns;ship;fishing;port limits;Cooktown Harbour;diesel;20.0
475;2010-04-20 00:00:00;Gladstone;ship;recreational;port limits;Mary River Maryborough;diesel;
476;2010-04-21 00:00:00;Brisbane;unknown;n/a;coastal waters;Manly Harbour Brisbane;diesel;
477;2010-04-25 00:00:00;Brisbane;ship;recreational;coastal waters;Pacific Harbour Marina Bribie Is;diesel;
478;2010-05-11 00:00:00;Townsville;unknown;n/a;port limits;Ross River;diesel;
479;2010-05-13 00:00:00;Cairns;ship;commercial;port limits;Wharf No. 8 Cairns Port;diesel;3.0
480;2010-05-27 00:00:00;Cairns;ship;commercial;port limits;Masons wharf Cairns Harbour;diesel;5.0
481;2010-07-05 00:00:00;Townsville;unknown;n/a;port limits;Sunferries breakwater terminal, Ross Creek;diesel;5.0
482;2010-07-23 00:00:00;Brisbane;ship;commercial;port limits;Fisherman Islands Coal Terminal, Brisbane;other oil;30.0
483;2010-07-25 00:00:00;Brisbane;unknown;n/a;coastal waters;Mooloolaba;diesel;
484;2010-07-28 00:00:00;Gladstone;unknown;n/a;port limits;South Trees West Wharf, Gladstone;diesel;
485;2010-08-13 00:00:00;Gladstone;land;n/a;port limits;South Trees East Wharf, Gladstone;other oil;100.0
486;2010-08-18 00:00:00;Townsville;ship;recreational;port limits;Breakwater Marina Development site, Townsville;diesel;300.0
487;2010-09-06 00:00:00;Brisbane;land;n/a;port limits;Brisbane River, downstream near CAPR;diesel;
488;2010-10-14 00:00:00;Mackay;ship;recreational;port limits;Mackay Harbour Entrance;bilge;
489;2010-10-20 00:00:00;Brisbane;unknown;n/a;port limits; Pinkenba Reach, Brisbane River;other oil;
490;2010-10-30 00:00:00;Mackay;unknown;n/a;coastal waters;Blue Bay, Dalphin Pt;diesel;
491;2010-11-02 00:00:00;Brisbane;ship;recreational;coastal waters;Horizon Shores Marina, Gold Coast;hydraulic;10.0
492;2010-11-07 00:00:00;Gladstone;unknown;n/a;coastal waters;South of India Head, Fraser Island;other oil;
493;2010-11-14 00:00:00;Cairns;ship;commercial;port limits;Meridian Marina, Port Douglas;diesel;200.0
494;2010-11-18 00:00:00;Brisbane;unknown;n/a;coastal waters;Aquatic Paradise, Moreton Bay;bilge;
495;2010-11-25 00:00:00;Brisbane;ship;commercial;port limits;John Oxley II Berth, Brisbane River;hydraulic;20.0
496;2010-12-08 00:00:00;Cairns;ship;commercial;coastal waters;Lizard Island;diesel;120.0
497;2011-01-05 00:00:00;Cairns;unknown;n/a;coastal waters;Endeavour River, Cooktown;diesel;
498;2011-01-08 00:00:00;Gladstone;ship;commercial;coastal waters;China Bay, Curtis Island Gladstone;hydraulic;10.0
499;2011-01-10 00:00:00;Gladstone;ship;recreational;coastal waters;Garrys Anchorage, Great Sanbds Straits;petroleum;40.0
500;2011-02-11 00:00:00;Brisbane;ship;recreational;port limits;Rivergate Marina, Brisbane River;diesel;
501;2011-02-11 00:00:00;Gladstone;ship;commercial;port limits;Auckland Pt Wharf, Gladstone Harbour;diesel;15.0
502;2011-02-15 00:00:00;Cairns;unknown;n/a;coastal waters;Smiths Creek, Cairns;sheen;
503;2011-02-15 00:00:00;Cairns;unknown;n/a;coastal waters;Low Isles, north of Cairns;sheen;
504;2011-02-17 00:00:00;Brisbane;ship;commercial;port limits;Fisherman Islands Berth 3, Brisbane;hydraulic;
505;2011-03-02 00:00:00;Cairns;unknown;n/a;coastal waters;Prince of Wales Island, Torres Strait;sheen;
506;2011-03-04 00:00:00;Gladstone;unknown;n/a;great barrier reef;10' offshore, 40' south of Bustard Head;other oil;
507;2011-03-08 00:00:00;Cairns;ship;commercial;coastal waters;Great North East, Channel, Torres Straits;other oil;300.0
508;2011-03-15 00:00:00;Cairns;unknown;n/a;coastal waters;Trawler Base, Smiths Creek, Cairns;other;20.0
509;2011-03-19 00:00:00;Brisbane;unknown;n/a;coastal waters;Mooloolaba Boat Harbour;diesel;
510;2011-03-26 00:00:00;Brisbane;land;n/a;port limits;Brisbane River Eagle Farm drain;other;
511;2011-03-28 00:00:00;Brisbane;ship;fishing;coastal waters;Scarbough Boat Harbour;diesel;
512;2011-03-30 00:00:00;Brisbane;ship;commercial;coastal waters;Toondah Harbour Ferriy Terminal, Cleveland;diesel;
513;2011-04-06 00:00:00;Townsville;land;n/a;port limits;Port of Townsville Sugar Terminal;diesel;50.0
514;2011-04-09 00:00:00;Brisbane;unknown;n/a;coastal waters;North West Channel Bribie Island, Moreton Bay;sheen;
515;2011-04-11 00:00:00;Gladstone;ship;commercial;port limits;North China Bay construction dock Gladstone Harbour;hydraulic;20.0
516;2011-04-19 00:00:00;Townsville;other;n/a;coastal waters;Palm Island Jetty, Palm Island;diesel;
517;2011-05-07 00:00:00;Brisbane;ship;recreational;coastal waters;Tangalooma Wrecks, Moretion Island;diesel;
518;2011-05-22 00:00:00;Mackay;unknown;n/a;port limits;A Arm, Mackay Marina;diesel;3.0
519;2011-06-12 00:00:00;Mackay;ship;commercial;port limits;Dalyrymple Bay Coal Terminal, Berth 4;bilge;
520;2011-06-20 00:00:00;Mackay;ship;commercial;port limits;Mackay Harbour Berth 3;hydraulic;4.0
521;2011-06-21 00:00:00;Cairns;ship;unknown;coastal waters;Evans Landing Wharf, Weipa;diesel;10.0
522;2011-07-07 00:00:00;Mackay;ship;commercial;port limits;Hay Point Berth 3 (Dredge Site);hydraulic;2.0
523;2011-07-10 00:00:00;Mackay;ship;commercial;port limits;Hay Point Berth 3 (Dredge Site);hydraulic;2.0
524;2011-07-13 00:00:00;Gladstone;unknown;unknown;port limits;Between Q4 and Q6 beacon's in Quion Ccannel, Gladstone;sheen;
525;2011-07-14 00:00:00;Gladstone;ship;commercial;port limits;LNG Maritime Offload Facility Curtis Island, Gladstone.;hydraulic;20.0
526;2011-07-23 00:00:00;Gladstone;unknown;unknown;port limits;Fishermans Landing (Bechtel Barge Ramp) Gladstone;hydraulic;5.0
527;2011-08-10 00:00:00;Mackay;unknown;unknown;port limits;Sand Bay, south of Cape Hillsborough and Belmunda areas;other oil;
528;2011-08-14 00:00:00;Townsville;ship;commercial;port limits;Augustus Creek, Nelly Bay, Magnetic Island, Townsville;diesel;600.0
529;2011-08-16 00:00:00;Gladstone;ship;commercial;port limits;North Passage Island, Gladstone;other;10.0
530;2011-08-16 00:00:00;Mackay;ship;recreational;port limits;Wharf at Pioneer River, Mackay;diesel;
531;2011-08-19 00:00:00;Cairns;unknown;commercial;coastal waters;10 nautical miles south of Urqhardt Point, Weipa;other oil;
532;2011-09-07 00:00:00;Cairns;unknown;unknown;port limits;Endeovour River Cooktown Harbour;diesel;
533;2011-09-12 00:00:00;Mackay;ship;commercial;port limits;Hay Point Berth 1 (Dredge Site);hydraulic;2.0
534;2011-09-29 00:00:00;Brisbane;land;n/a;port limits;Eagle St Pier to Stanford Hotel, Town Reach Brisbane River;diesel;
535;2011-09-30 00:00:00;Gladstone;ship;commercial;port limits;Burnett River Bundaberg;diesel;
536;2011-10-10 00:00:00;Townsville;ship;fishing;port limits;Ross Haven Marina, Ross River Townsville;bilge;
537;2011-10-14 00:00:00;Cairns;land;n/a;coastal waters;Evans Landing Wharf Weipa;hydraulic;
538;2011-10-14 00:00:00;Gladstone;ship;commercial;port limits;North Passage Isl Up stream of Fishermans Landing;hydraulic;200.0
539;2011-10-23 00:00:00;Cairns;ship;commercial;coastal waters;Vacinity of Howick Island Group (FNQ);diesel;400.0
540;2011-10-28 00:00:00;Brisbane;ship;commercial;port limits;Scarborough Marina (Morgans Seafood);bilge;
541;2011-10-31 00:00:00;Gladstone;land;n/a;port limits;GLNG MOF Pioneer Barge Ramp south of China Bay Curtis Island;other;50.0
542;2011-11-02 00:00:00;Gladstone;land;n/a;port limits;GLNG MOF south of China Bay Curtis Island;hydraulic;
543;2011-11-21 00:00:00;Gladstone;ship;commercial;port limits;North Passage, China Bay;hydraulic;50.0
544;2011-11-23 00:00:00;Brisbane;unknown;unknown;port limits;28 Anchorage Drive, Cleveland (canal behind residence);sheen;
545;2011-11-28 00:00:00;Mackay;ship;fishing;port limits;Pioneer River, Mackay (Fish supplies Jetty);diesel;
546;2011-12-04 00:00:00;Brisbane;ship;commercial;port limits;Brisbane Roads Anchorage, Moreton Bay;diesel;2.0
547;2011-12-07 00:00:00;Brisbane;ship;commercial;port limits;Cairnscross Wharf, Brisbane River;diesel;20.0
548;2011-12-08 00:00:00;Mackay;ship;commercial;port limits;Mackay Harbour - Southern end of Sugar Wharf;diesel;1.0
549;2011-12-09 00:00:00;Brisbane;unknown;unknown;port limits;Pelican Slipway, Moreton Bay;sheen;
550;2011-12-12 00:00:00;Gladstone;ship;commercial;port limits;North Passage Island Channel;hydraulic;10.0
551;2011-12-20 00:00:00;Townsville;ship;recreational;port limits;Ross Creek Boat Ramp pontoon;sheen;3.0
552;2011-12-22 00:00:00;Mackay;ship;commercial;coastal waters;East Dimond Inlet, Mackay;sheen;
553;2011-12-25 00:00:00;Gladstone;ship;commercial;port limits;Curtis Island side of Passage Island Channel - adjacent to North Passage Island;hydraulic;10.0
554;2012-01-19 00:00:00;Mackay;ship;commercial;port limits;Hay Point Expansion ;hydraulic;1.0
555;2012-01-23 00:00:00;Brisbane;ship;commercial;port limits;Hamilton berth 4, Brisbane River;other oil;3000.0
556;2012-02-06 00:00:00;Mackay;land;n/a;port limits;Tug Harbour Hay Point;sheen;
557;2012-02-15 00:00:00;Mackay;ship;commercial;port limits;Lease D, Hay Point;hydraulic;1.0
558;2012-03-01 00:00:00;Gladstone;ship;recreational;port limits;Boat Club Marina, Urangan Boat Harbout, Hervey Bay;diesel;
559;2012-03-05 00:00:00;Mackay;ship;commercial;port limits;Hay Point Expansion, HPE3;sheen;2.0
560;2012-03-09 00:00:00;Mackay;ship;commercial;port limits;Hay Point Expansion Zone.;sheen;
561;2012-03-14 00:00:00;Gold Coast;ship;recreational;port limits;Horizon Shores Marina Gold Coast;diesel;
562;2012-03-23 00:00:00;Cairns;unknown;unknown;port limits;Tropical Reef slipway. Past Cairns slipway . Smiths Creek;diesel;
563;2012-03-28 00:00:00;Gladstone;ship;recreational;port limits;Curtis Island side of Passage Island Channel - adjacent to North Passage Island;hydraulic;
564;2012-04-08 00:00:00;Townsville;ship;commercial;port limits;Berth 4 at Bulk Sugar Wharf Townsville;diesel;2000.0
565;2012-04-17 00:00:00;Brisbane;ship;commercial;port limits;Mooloolah River Mouth;hydraulic;1.0
566;2012-04-18 00:00:00;Brisbane;ship;commercial;port limits;Maritime Solutions Slipway, Hamilton Reach, Brisbane River;hydraulic;4.0
567;2012-04-24 00:00:00;Brisbane;unknown;unknown;port limits;Seen from Aircraft, East of Redcliffe;unknown;
568;2012-04-30 00:00:00;Gladstone;ship;commercial;port limits;Jacobs Channel, Curtis Island;sheen;
569;2012-04-30 00:00:00;Mackay;ship;commercial;port limits;Hay Point Expansion HPX3;hydraulic;15.0
570;2012-05-03 00:00:00;Brisbane;land;n/a;port limits;Shell Service Station, 94 Breakfast Creek Road, Newstead;petroleum;2500.0
571;2012-05-10 00:00:00;Mackay;unknown;unknown;port limits;Hay Point Half Tide Tug Harbour;other;1.0
572;2012-05-15 00:00:00;Townsville;ship;fishing;port limits;Anchorage off Dalrymple Bay Bowen;diesel;
573;2012-05-24 00:00:00;Gladstone;ship;commercial;port limits;Curtis Island QCLNG Project: Off Load facility;hydraulic;2.0
574;2012-06-02 00:00:00;Gladstone;ship;commercial;port limits;Curtis Island GLNG Marine Offload Facility;hydraulic;20.0
575;2012-06-03 00:00:00;Gladstone;ship;commercial;port limits;RG Tanna Loadout Facility;diesel;1.0
576;2012-06-06 00:00:00;Cairns;ship;commercial;coastal waters;Fitzroy Island Wharf;diesel;100.0
577;2012-06-13 00:00:00;Gladstone;ship;commercial;port limits;South China Bay;hydraulic;
578;2012-06-29 00:00:00;Townsville;land;n/a;port limits;BP bitumen plant Townsville Port;other;3000.0
579;2012-07-08 00:00:00;Gladstone;ship;recreational;port limits;Great Sandy Strait Marina Urangan;bilge;2.0
580;2012-07-10 00:00:00;Brisbane;unknown;unknown;coastal waters;Wurtulla beach Caloundra;other oil;
581;2012-07-12 00:00:00;Brisbane;unknown;unknown;port limits;Aquarium Passage - Doboy Creek - Brisbane River;diesel;20.0
582;2012-07-12 00:00:00;Townsville;land;unknown;coastal waters;Lucinda Wharf;diesel;5.0
583;2012-07-14 00:00:00;Gladstone;unknown;unknown;port limits;Fishermans Landing;diesel;100.0
584;2012-07-18 00:00:00;Brisbane;unknown;unknown;coastal waters;Scarborough Marina;diesel;
585;2012-07-21 00:00:00;Gladstone;unknown;unknown;coastal waters;Roslyn Bay Boat Harbour Entrance;diesel;
586;2012-07-23 00:00:00;Hay Point;ship;commercial;coastal waters;Hay Point Tug Harbour;hydraulic;2.0
587;2012-07-23 00:00:00;Townsville;unknown;unknown;coastal waters;Enterprise Channel, Dungerness, Lucina;diesel;50.0
588;2012-07-27 00:00:00;Townsville;unknown;unknown;port limits;Ross Creek;diesel;
589;2012-08-02 00:00:00;Gladstone;ship;commercial;port limits;Behind Clinton wharf;hydraulic;2.0
590;2012-08-04 00:00:00;Townsville;unknown;unknown;port limits;Ross Creek near Townsville Yacht Club Marina;diesel;
591;2012-08-05 00:00:00;Gladstone;ship;commercial;port limits;North Passage Isl Gladstone Harbour;hydraulic;5.0
592;2012-08-13 00:00:00;Gladstone;ship;commercial;port limits;Middle Bank Quoin Anchorage;other;
593;2012-08-14 00:00:00;Brisbane;unknown;unknown;coastal waters;Scarborough Marina;diesel;20.0
594;2012-08-17 00:00:00;Cairns;unknown;unknown;coastal waters;Weipa Anchorage area;other oil;
