Event ID;Date;Region;Source;Ship Type;Area;Location;Pollutant;Estimated Litres
147;2004-04-05 00:00:00;Brisbane;ship;commercial;port limits;Caltex, Fishermans Islands Berth;sheen;
148;2004-04-11 00:00:00;Cairns;ship;recreational;port limits;Thursday Island;diesel;
149;2004-04-12 00:00:00;Brisbane;ship;recreational;coastal waters;Newport Waterways, Scarborough;other;
150;2004-04-15 00:00:00;Brisbane;unknown;unknown;coastal waters;Barralong Canal, Buddina;other;
151;2004-04-18 00:00:00;Cairns;ship;unknown;port limits;Main Wharf, Thursday Island;sheen;
152;2004-05-05 00:00:00;Cairns;land;government;port limits;Trinity Inlet, Cairns;diesel;
153;2004-05-16 00:00:00;Mackay;ship;unknown;coastal waters;Blue Pearl Bay, Hayman Island, Whitsundays;diesel;
154;2004-05-19 00:00:00;Brisbane;ship;unknown;port limits;Cabbage Tree Creek, Brisbane;sheen;
155;2004-05-19 00:00:00;Cairns;ship;fishing;port limits;Thursday Island;diesel;
156;2004-05-21 00:00:00;Brisbane;ship;recreational;port limits;Manly Marine, Brisbane;diesel;
157;2004-05-22 00:00:00;Brisbane;ship;unknown;port limits;Lytton Reach, Brisbane River;sheen;
158;2004-05-22 00:00:00;Cairns;land;unknown;port limits;Trinity Inlet, Cairns;sheen;
159;2004-05-24 00:00:00;Brisbane;ship;fishing;port limits;Gladstone Marina;diesel;
160;2004-05-24 00:00:00;Gladstone;ship;fishing;port limits;Gladstone Marina;bilge;
161;2004-05-25 00:00:00;Brisbane;ship;unknown;coastal waters;Shaftston Reach, Brisbane River;bilge;
162;2004-05-27 00:00:00;Cairns;ship;commercial;port limits;Thursday Island;bilge;
163;2004-06-04 00:00:00;Cairns;unknown;unknown;port limits;Trinity Inlet, Cairns;diesel;
164;2004-06-07 00:00:00;Cairns;unknown;unknown;port limits;Trinity Inlet, Cairns;diesel;
165;2004-06-10 00:00:00;Brisbane;unknown;unknown;port limits;Cabbage Tree Creek, Brisbane;sheen;
166;2004-06-10 00:00:00;Cairns;ship;unknown;port limits;Thursday Island;bilge;
167;2004-06-14 00:00:00;Brisbane;land;n/a;port limits;Caltex, Fishermans Islands Berth;other oil;
168;2004-07-02 00:00:00;Brisbane;ship;commercial;coastal waters;Brisbane River, Eagle St Pier;sheen;
169;2004-07-27 00:00:00;Cairns;ship;commercial;port limits;Between D Finger CFB 1 & TR slipway, Trinity Inlet/ Smiths Creek;bilge;20.0
170;2004-07-29 00:00:00;Cairns;unknown;unknown;port limits;From Sinrab Point to Wharf 7;sheen;50.0
171;2004-07-29 00:00:00;Mackay;unknown;unknown;great barrier reef;Tongue Bay, Whitsunday Island;unknown;
